,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2018-02-13,1.4450491052724257,1.475134426067403,1.8636841433069427
2018-02-14,1.44988978385916,1.4816798614088642,1.8761695601241635
2018-02-22,1.46000949210007,1.4888147708209312,1.89899403091498
2018-02-23,1.4652864460431394,1.4954245662923527,1.9166559561165146
2018-02-26,1.4749371618750522,1.5050250014503734,1.9335436620301414
2018-02-27,1.474464926114921,1.5035435504964454,1.9284163676979211
2018-02-28,1.474611124396161,1.4999465753414376,1.923853118740989
2018-03-01,1.4762138296795975,1.4987036216363534,1.9204211992224451
2018-03-02,1.4801184447149263,1.5020223113652331,1.9208452682935349
2018-03-05,1.480184636196236,1.503975652215761,1.9242184966586047
2018-03-06,1.482914477247513,1.5071565720111642,1.9285543211898328
2018-03-07,1.4807793728132628,1.5057667415837042,1.9314834644926415
2018-03-08,1.4794572233662333,1.5030216916244257,1.9320497000736043
2018-03-09,1.4782220873856557,1.5010525469384906,1.9305893407011292
2018-03-12,1.4774909056737486,1.4995253895661644,1.9321753830757415
2018-03-13,1.475081540617464,1.495065914366938,1.928285812178756
2018-03-14,1.4743433783610458,1.4954685206146618,1.9284749685420184
2018-03-15,1.474228560226651,1.4951719299017427,1.928797147300487
2018-03-16,1.4748454067209569,1.4946072561771362,1.9265123637105168
2018-03-19,1.474243272955263,1.4924105969798345,1.9248924754905457
2018-03-20,1.4760134749497407,1.4951556337284257,1.9294735507021767
2018-03-21,1.478415953245869,1.4993702232558181,1.9345733240964091
2018-03-22,1.482087415746045,1.5068270145258424,1.9470365410006056
2018-03-23,1.4871929954083816,1.5112343233832588,1.9590105775217146
2018-03-26,1.4896568163721684,1.5144918423892109,1.9596672207464152
2018-03-27,1.4889110523128735,1.512592489086879,1.9579330322753232
2018-03-28,1.4849306185210585,1.5041844865577005,1.9523212132753986
2018-03-29,1.4838678438956308,1.5003899928365974,1.9480921990258544
2018-03-30,1.4933903561955417,1.5079275923947237,1.947229710231865
2018-04-02,1.4984534402441683,1.5135578521858855,1.9501320695895565
2018-04-03,1.4986059634820839,1.5137818764481903,1.9530525565305963
2018-04-04,1.5008240864497553,1.51509444772193,1.9555168096184528
2018-04-09,1.5115976069982646,1.5211297365188754,1.959964850407157
2018-04-10,1.5107328544480556,1.5233121938625753,1.9589611387554728
2018-04-11,1.5123333483019048,1.527775024382648,1.963634949635243
2018-04-12,1.5129159932600877,1.53000694287731,1.9673401279699836
2018-04-13,1.5121545029003443,1.5272661529652802,1.9618895929300595
2018-04-16,1.5157826676373984,1.529245220873688,1.966224210344592
2018-04-17,1.5174022162253484,1.5315180748577748,1.9650703371098177
2018-04-18,1.5409972226971014,1.5471221376671866,1.9878822855342069
2018-04-19,1.5466687410018336,1.5565017169199438,1.9908342709210718
2018-04-20,1.5443180970653734,1.550493808399622,1.9859420235674048
2018-04-23,1.5390828522024698,1.546038648408958,1.977745068006647
2018-04-24,1.5382146655304978,1.546693184679918,1.9796109827622397
2018-04-25,1.5354931001788164,1.542919647388861,1.973909424360975
2018-04-26,1.5313064052996967,1.5373061931832401,1.9688599707548269
2018-04-27,1.5294387527016895,1.5361422085146257,1.9660988151034193
2018-05-02,1.530071082893412,1.5371980921451247,1.9659870196520377
2018-05-03,1.5351956480610414,1.5426540632545807,1.9715613203406426
2018-05-04,1.5369754252078471,1.5470258640450139,1.978579543225255
2018-05-07,1.5396675503786752,1.5517571324974408,1.9815043996045982
2018-05-08,1.5361010407936428,1.5488326760989164,1.9750335665533174
2018-05-09,1.5323684185370234,1.545554763794818,1.9705819091147332
2018-05-10,1.5399286979941667,1.5540195624918611,1.9808155262611291
2018-05-11,1.5411846258387842,1.5569210689047133,1.9863899997984573
2018-05-14,1.5398856127968505,1.5550450778056892,1.9830402310926611
2018-05-15,1.540712809109834,1.554474495288959,1.980691364555411
2018-05-16,1.5366681272843514,1.548228195799244,1.9728529723611996
2018-05-17,1.536220219615694,1.5473795161727812,1.9723845793424861
2018-05-18,1.5390067064120296,1.550222820203213,1.9747887524730703
2018-05-21,1.5404452633100831,1.5506824966914263,1.9741060774055559
2018-05-22,1.5432047080898375,1.551381250657232,1.9749989117837892
2018-05-23,1.5437724642203132,1.5526833055183753,1.9797069048503864
2018-05-24,1.5448528833583408,1.5547173059449093,1.98455145767423
2018-05-25,1.54888265333428,1.5597934356281526,1.9928825248503297
2018-05-28,1.5455054797376613,1.5549959306859946,1.9853698982746337
2018-05-29,1.5472745830914976,1.5582762009367788,1.9914574863254018
2018-05-30,1.5435217194779982,1.554721177416481,1.9918276152256849
2018-05-31,1.5461594884122902,1.5588819511895031,1.9934801199665075
2018-06-01,1.5466845415291375,1.558680744032419,1.9950684056668515
2018-06-04,1.5463935008204248,1.5575158796588433,1.991185568587197
2018-06-05,1.5450201757483972,1.5558172222162876,1.986639211431543
2018-06-06,1.546823201070201,1.5598379538456693,1.9928195414539822
2018-06-07,1.549290954842921,1.562292365073275,1.9971659518504532
2018-06-08,1.5449473117764987,1.5561969462616596,1.9919654660066188
2018-06-11,1.5453893763083282,1.5565899130485448,1.99292688179916
2018-06-12,1.5449628975417393,1.5567339592000409,1.9900407951261174
2018-06-13,1.5421354448240123,1.553323524571398,1.987063617645271
2018-06-14,1.544845544167504,1.5562412169864455,1.9922841495087258
2018-06-15,1.5440237515496693,1.5556031646753676,1.9941034516415088
2018-06-19,1.5322059186246322,1.5417732111967892,1.98480927170992
2018-06-20,1.5297081831625234,1.538735991747428,1.979049034477266
2018-06-21,1.5275739894671845,1.5349860654535203,1.976454764468477
2018-06-22,1.5291979517385066,1.5360573674934095,1.977184125290123
2018-06-25,1.5283255687913477,1.5368494741794119,1.9805787991821544
2018-06-26,1.5299375310254,1.5389588594801669,1.9853977126577331
2018-06-27,1.5380781105365133,1.5482067167750335,2.0016525756736434
2018-06-28,1.543826845287727,1.5526265046902819,2.010662891007575
2018-06-29,1.5522474331178366,1.5591644304369274,2.0141273739426335
2018-07-02,1.5540767345726134,1.5597038051388836,2.0205100160611047
2018-07-03,1.5556095412118478,1.5617161825066395,2.0227964243225096
2018-07-04,1.5518165241776853,1.557848952881553,2.019140489224581
2018-07-05,1.5481663542772302,1.5518960336292298,2.0127409079632943
2018-07-06,1.5463108083904937,1.5506707112003237,2.0109448989792114
2018-07-09,1.5489076456906148,1.554516411667514,2.0121374971074926
2018-07-10,1.5511525706768134,1.5557576092600165,2.0130341569144345
2018-07-11,1.549717588105612,1.553787919356837,2.0134959280347005
2018-07-12,1.551024259060604,1.5546713669605345,2.0105483639894994
2018-07-13,1.5508499693567344,1.553340230995279,2.008094886301431
2018-07-16,1.5523095519250365,1.5554488269464766,2.012407925150165
2018-07-17,1.5503998137047905,1.552597845222077,2.0091832127918203
2018-07-18,1.549820664043964,1.548955869491336,2.0045512342046714
2018-07-19,1.554581182782676,1.5535549854395705,2.01163174271764
2018-07-20,1.5579590009926294,1.5574764340565652,2.0150778022627445
2018-07-23,1.5603357519201568,1.5624812157736097,2.020366438926373
2018-07-24,1.5600922626207707,1.5630093362602377,2.0184444065473306
2018-07-25,1.56094453961516,1.5622904075699706,2.0180301567551266
2018-07-26,1.562344477262263,1.5662243773976927,2.025067306757462
2018-07-27,1.563158232991803,1.56527460197971,2.0246290278806134
2018-07-30,1.5665978389422217,1.5667087897624623,2.0278783430926546
2018-07-31,1.5714253562873743,1.5697837365203517,2.031119042650187
2018-08-01,1.5693031513455966,1.5653165102022861,2.026667420912674
2018-08-02,1.5677146885620206,1.5611833124085175,2.0193402341567577
2018-08-03,1.5758832182992812,1.5659039193955504,2.0192867872801377
2018-08-06,1.5808469339458098,1.5674247267448942,2.0135959982245795
2018-08-07,1.585964585651762,1.5733344533414564,2.016615350394915
2018-08-08,1.5806282488783816,1.5678722025888285,2.007546753507981
2018-08-09,1.5818231247113448,1.5702140860949114,2.007752030852986
2018-08-10,1.5838390259162944,1.5730874819094303,2.012494275207955
2018-08-13,1.5793890003814597,1.5699384228054958,2.00818734472893
2018-08-14,1.5834854303343404,1.569724970140511,2.00534911357119
2018-08-15,1.5796115316886223,1.564017359918379,1.9983835224691313
2018-08-16,1.5757967941915685,1.5542372722244466,1.9858457354526358
2018-08-17,1.5682797575358332,1.5463411740634112,1.9754814105903855
2018-08-20,1.5677253013680732,1.54791713297985,1.9742465322611722
2018-08-21,1.5764466102133823,1.55765169574668,1.9816970079218723
2018-08-22,1.5782991932495454,1.5596724090707894,1.9822074275512196
2018-08-23,1.576504361482499,1.558738613477663,1.982874883523299
2018-08-24,1.5736538158703006,1.5547187850191668,1.979538967145623
2018-08-27,1.5764187624036012,1.5591304401137647,1.9846260254028574
2018-08-28,1.5848462139910722,1.5660545857205366,1.988087836762634
2018-08-29,1.5875417449880536,1.5668039242265825,1.986586078936213
2018-08-30,1.588293393183456,1.5682394086168103,1.9879469990523615
2018-08-31,1.5893587510592633,1.5695399638339407,1.9905064493559166
2018-09-03,1.5885636309286792,1.5679188396468042,1.986779256115782
2018-09-04,1.5862926535556368,1.5652878283594382,1.9842560567394272
2018-09-05,1.5781488220305988,1.5577773038754237,1.9787243155977225
2018-09-06,1.5769828098080092,1.5572757138589362,1.9798564268087786
2018-09-07,1.5765949172067073,1.5581199143191338,1.9825218959584527
2018-09-10,1.5748184624798653,1.5570762116041907,1.9777310106403512
2018-09-11,1.5696529132928612,1.5554810216607908,1.9755660082163256
2018-09-12,1.568953309640177,1.5560820397879405,1.977113825127725
2018-09-13,1.5700981174476376,1.5586365160406304,1.9824299222493382
2018-09-14,1.5678180999486495,1.557872834575009,1.9866528988833259
2018-09-17,1.56470095353618,1.5547394588643995,1.9857893035626673
2018-09-18,1.56662482342197,1.5589908543885274,1.9918177513155848
2018-09-19,1.568049131878134,1.5615251996655928,1.9915214833151507
2018-09-20,1.56851801435354,1.5627488303201713,1.9906635159919401
2018-09-21,1.5764662429578893,1.5707306861480188,1.9989701644061884
2018-09-25,1.5799496631333505,1.5757455804523652,1.997537627788606
2018-09-26,1.5837145934931247,1.5805930867477775,2.003380759411676
2018-09-27,1.5839814308693363,1.579844706854491,2.0032409338287755
2018-09-28,1.5870710732463897,1.579126520857364,1.9963083344119743
2018-10-08,1.5909370877834657,1.5869649767176368,1.9966807909678181
2018-10-09,1.6001413836132194,1.5960326132072409,1.9961089887129093
2018-10-10,1.6060497627044334,1.6026404071584621,1.9976660917761815
2018-10-11,1.592523799037799,1.5904848914688676,1.9947108509883624
2018-10-12,1.5943061920486508,1.5956408443864354,2.0072160493226363
2018-10-15,1.591925735566682,1.596303052675266,2.00949886501747
2018-10-16,1.5877655423154966,1.5925773897917923,2.0116745695440166
2018-10-17,1.5889451677834843,1.5927549917643107,2.0115141252269004
2018-10-18,1.583996677940814,1.5858126642033454,2.0078712097316265
2018-10-19,1.5858491374203496,1.5885012982271605,2.015142939431856
2018-10-22,1.5927878541705225,1.5946768186304756,2.021314770649165
