日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2020-12-28,1.0,1.0,1.0,1.0,0.0,0.0,0.0002591369863013698,0.0,0.0,0.004124201927,0.0,0.004124201927,1.0,0.0,0.004124201927,1.7081812625585597,1.3248959732154746,1.289294629232562,0.0
2020-12-29,1.0,1.0,1.0,1.0,0.0,0.0,0.00010335616438356164,0.0,0.0,-0.002369574661,0.0,-0.002369574661,1.0,0.0,-0.002369574661,1.704133599522406,1.3217565332888823,1.289294629232562,0.0
2020-12-30,1.0,1.0,1.0,1.0,0.0,0.0,0.00011023287671232876,0.0,0.0,0.012588575274000001,0.0,0.012588575274000001,1.0,0.0,0.012588575274000001,1.7255862136169464,1.3383955649020907,1.289294629232562,0.0
2020-12-31,1.0,1.0,1.0,1.0,0.0,0.0,0.00010949315068493152,0.0,0.0,0.021736580789,0.0,0.021736580789,1.0,0.0,0.021736580789,1.7630945577576158,1.3674877082262242,1.289294629232562,0.0
2021-01-04,1.0,1.0,1.0,1.0,0.0,0.0,0.00046628767123287675,0.0,0.0,0.006313372872,0.0,0.006313372872,1.0,0.0,0.006313372872,1.7742256311093334,1.3761211680261332,1.289294629232562,0.0
2021-01-05,1.0,1.0,1.0,1.0,0.0,0.0,7.48082191780822e-05,0.0,0.0,0.01897338403,0.0,0.01897338403,1.0,0.0,0.01897338403,1.8078886953642397,1.402230843418905,1.2892946292325618,0.0
2021-01-06,1.0,1.0,1.0,1.0,0.0,0.0,5.37123287671233e-05,0.0,0.0,0.009067502519,0.0,0.009067502519,1.0,0.0,0.009067502519,1.8242817306635264,1.4149455751238253,1.2892946292325618,0.0
2021-01-07,1.0,1.0,1.0,1.0,0.0,0.0,4.7931506849315074e-05,0.0,0.0,0.022483544116999998,0.0,0.022483544116999998,1.0,0.0,0.022483544116999998,1.8652980494367368,1.4467585663852758,1.2892946292325618,0.0
2021-01-08,1.0,1.0,1.0,1.0,0.0,0.0,4.653424657534247e-05,0.0,0.0,-0.004448462929,0.0,-0.004448462929,1.0,0.0,-0.004448462929,1.8570003402122814,1.4403227145354978,1.2892946292325618,0.0
2021-01-11,1.0,1.0,1.0,1.0,0.0,0.0,0.00013913698630136986,0.0,0.0,-0.012460493334,0.0,-0.012460493334,1.0,0.0,-0.012460493334,1.8338611998518306,1.4223755829522193,1.2892946292325618,0.0
2021-01-12,1.0,1.0,1.0,1.0,0.0,0.0,4.7931506849315074e-05,0.0,0.0,0.029429075927,0.0,0.029429075927,1.0,0.0,0.029429075927,1.8878300403418493,1.464234781979631,1.2892946292325618,0.0
2021-01-13,1.0,1.0,1.0,1.0,0.0,0.0,4.7712328767123294e-05,0.0,0.0,-0.003251858205,0.0,-0.003251858205,1.0,0.0,-0.003251858205,1.8816910847355182,1.4594732980898042,1.2892946292325618,0.0
2021-01-14,1.0,1.0,1.0,1.0,0.0,0.0,4.5493150684931505e-05,0.0,0.0,-0.017961495716,0.0,-0.017961495716,1.0,0.0,-0.017961495716,1.8478930983782056,1.4332589746985478,1.2892946292325616,0.0
2021-01-15,1.0,1.0,1.0,1.0,0.0,0.0,4.6369863013698634e-05,0.0,0.0,-0.007264894859999999,0.0,-0.007264894859999999,1.0,0.0,-0.007264894859999999,1.8344683493059681,1.4228464989402114,1.2892946292325616,0.0
2021-01-18,1.0,1.0,1.0,1.0,0.0,0.0,0.0001549178082191781,0.0,0.0,0.011013215859000001,0.0,0.011013215859000001,1.0,0.0,0.011013215859000001,1.854671745223378,1.4385166145672623,1.2892946292325616,0.0
2021-01-19,1.0,1.0,1.0,1.0,0.0,0.0,5.9027397260273975e-05,0.0,0.0,-0.012999273784,0.0,-0.012999273784,1.0,0.0,-0.012999273784,1.8305623594277702,1.4198169432516696,1.2892946292325616,0.0
